sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
麥寮,雲林縣,49,nan,良好,3.8,0.31,56,30.0,82.0,17,9.5,12.0,2.4,4.5,45.0,"2016-11-25 13:00",,0.36,14,53,nan,nan,nan,nan
關山,臺東縣,26,nan,良好,1.2,nan,nan,19.0,19.0,8,4.2,5.4,1.2,2.5,73.0,"2016-11-25 13:00",,nan,8,17,nan,nan,nan,nan
馬公,澎湖縣,36,nan,良好,1.1,0.19,40,35.0,28.0,17,1.9,3.1,1.2,5.6,102.0,"2016-11-25 13:00",,0.18,11,22,nan,nan,nan,nan
金門,金門縣,42,nan,良好,3.3,0.37,28,21.0,36.0,14,10.0,14.0,3.5,3.2,52.0,"2016-11-25 13:00",,0.36,13,34,nan,nan,nan,nan
馬祖,連江縣,69,細懸浮微粒,普通,2.2,0.26,33,29.0,25.0,12,5.9,7.0,1.1,4.7,73.0,"2016-11-25 13:00",,0.33,23,36,nan,nan,nan,nan
埔里,南投縣,59,細懸浮微粒,普通,1.5,0.25,43,20.0,17.0,11,6.7,9.4,2.7,3.0,288.0,"2016-11-25 13:00",,0.39,19,36,nan,nan,nan,nan
復興,高雄市,72,細懸浮微粒,普通,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.3,227.0,"2016-11-25 13:00",,0.58,24,58,nan,nan,nan,nan
永和,新北市,26,nan,良好,1.8,0.44,29,31.0,22.0,6,15.0,22.0,6.9,4.5,91.0,"2016-11-25 13:00",,0.62,3,10,nan,nan,nan,nan
竹山,南投縣,57,細懸浮微粒,普通,2.5,0.28,59,20.0,39.0,22,7.5,8.8,1.3,1.3,214.0,"2016-11-25 13:00",,0.46,18,37,nan,nan,nan,nan
中壢,桃園市,25,nan,良好,1.9,0.79,25,28.0,36.0,5,20.0,34.0,14.0,1.7,260.0,"2016-11-25 13:00",,0.86,4,27,nan,nan,nan,nan
三重,新北市,35,nan,良好,1.8,1.19,-,nan,36.0,9,32.0,93.0,61.0,nan,nan,"2016-11-25 13:00",,1.26,5,29,nan,nan,nan,nan
冬山,宜蘭縣,27,nan,良好,3.1,0.56,14,21.0,25.0,3,26.0,39.0,13.0,1.6,25.0,"2016-11-25 13:00",,0.35,2,13,nan,nan,nan,nan
宜蘭,宜蘭縣,24,nan,良好,1.7,0.37,32,28.0,13.0,5,8.7,11.0,2.6,1.1,294.0,"2016-11-25 13:00",,0.29,3,14,nan,nan,nan,nan
陽明,臺北市,31,nan,良好,1.7,0.19,40,37.0,1.0,ND,0.9,1.8,0.9,nan,nan,"2016-11-25 13:00",,0.19,1,5,nan,nan,nan,nan
