,站點,城市,aqi,狀態,pm25
0,麥寮,雲林縣,49.0,良好,14.0
1,關山,臺東縣,26.0,良好,8.0
2,馬公,澎湖縣,36.0,良好,11.0
3,金門,金門縣,42.0,良好,13.0
4,馬祖,連江縣,69.0,普通,23.0
5,埔里,南投縣,59.0,普通,19.0
6,復興,高雄市,72.0,普通,24.0
7,永和,新北市,26.0,良好,3.0
8,竹山,南投縣,57.0,普通,18.0
9,中壢,桃園市,25.0,良好,4.0
10,三重,新北市,35.0,良好,5.0
11,冬山,宜蘭縣,27.0,良好,2.0
12,宜蘭,宜蘭縣,24.0,良好,3.0
13,陽明,臺北市,31.0,良好,1.0
14,花蓮,花蓮縣,17.0,良好,5.0
15,臺東,臺東縣,22.0,良好,3.0
16,恆春,屏東縣,34.0,良好,1.0
17,潮州,屏東縣,94.0,普通,33.0
18,屏東,屏東縣,84.0,普通,29.0
19,小港,高雄市,89.0,普通,31.0
20,前鎮,高雄市,72.0,普通,24.0
21,前金,高雄市,84.0,普通,29.0
22,左營,高雄市,99.0,普通,35.0
23,楠梓,高雄市,74.0,普通,25.0
24,林園,高雄市,77.0,普通,26.0
25,大寮,高雄市,77.0,普通,26.0
26,鳳山,高雄市,84.0,普通,29.0
27,仁武,高雄市,87.0,普通,30.0
28,橋頭,高雄市,74.0,普通,25.0
29,美濃,高雄市,99.0,普通,35.0
30,臺南,臺南市,59.0,普通,19.0
31,安南,臺南市,52.0,普通,16.0
32,善化,臺南市,54.0,普通,17.0
33,新營,臺南市,41.0,良好,12.0
34,嘉義,嘉義市,62.0,普通,20.0
35,臺西,雲林縣,42.0,良好,13.0
36,朴子,嘉義縣,49.0,良好,15.0
37,新港,嘉義縣,39.0,良好,12.0
38,崙背,雲林縣,49.0,良好,15.0
39,斗六,雲林縣,45.0,良好,14.0
40,南投,南投縣,57.0,普通,18.0
41,二林,彰化縣,25.0,良好,3.0
42,線西,彰化縣,36.0,良好,11.0
43,彰化,彰化縣,29.0,良好,9.0
44,西屯,臺中市,24.0,良好,7.0
45,忠明,臺中市,23.0,良好,5.0
46,大里,臺中市,25.0,良好,7.0
47,沙鹿,臺中市,21.0,良好,5.0
48,豐原,臺中市,23.0,良好,7.0
49,三義,苗栗縣,19.0,良好,2.0
50,苗栗,苗栗縣,20.0,良好,5.0
51,頭份,苗栗縣,23.0,良好,7.0
52,新竹,新竹市,25.0,良好,3.0
53,竹東,新竹縣,26.0,良好,8.0
54,湖口,新竹縣,29.0,良好,7.0
55,龍潭,桃園市,25.0,良好,5.0
56,平鎮,桃園市,26.0,良好,5.0
57,觀音,桃園市,29.0,良好,9.0
58,大園,桃園市,25.0,良好,4.0
59,桃園,桃園市,26.0,良好,4.0
60,大同,臺北市,29.0,良好,3.0
61,松山,臺北市,25.0,良好,5.0
62,古亭,臺北市,26.0,良好,7.0
63,萬華,臺北市,26.0,良好,6.0
64,中山,臺北市,27.0,良好,5.0
65,士林,臺北市,26.0,良好,6.0
66,淡水,新北市,25.0,良好,7.0
67,林口,新北市,36.0,良好,11.0
68,菜寮,新北市,25.0,良好,5.0
69,新莊,新北市,25.0,良好,2.0
70,板橋,新北市,17.0,良好,2.0
71,土城,新北市,25.0,良好,4.0
72,新店,新北市,29.0,良好,9.0
73,萬里,新北市,34.0,良好,3.0
74,汐止,新北市,23.0,良好,6.0
75,基隆,基隆市,30.0,良好,3.0
76,麥寮,雲林縣,48.0,良好,14.0
77,關山,臺東縣,26.0,良好,8.0
78,馬公,澎湖縣,36.0,良好,11.0
79,金門,金門縣,42.0,良好,13.0
80,馬祖,連江縣,69.0,普通,23.0
81,埔里,南投縣,59.0,普通,19.0
82,復興,高雄市,74.0,普通,25.0
83,永和,新北市,26.0,良好,3.0
84,竹山,南投縣,57.0,普通,18.0
85,中壢,桃園市,25.0,良好,4.0
86,三重,新北市,35.0,良好,5.0
87,冬山,宜蘭縣,27.0,良好,1.0
88,宜蘭,宜蘭縣,24.0,良好,3.0
89,陽明,臺北市,31.0,良好,1.0
90,花蓮,花蓮縣,21.0,良好,5.0
91,臺東,臺東縣,23.0,良好,3.0
92,恆春,屏東縣,34.0,良好,1.0
93,潮州,屏東縣,94.0,普通,33.0
94,屏東,屏東縣,87.0,普通,30.0
95,小港,高雄市,89.0,普通,31.0
96,前鎮,高雄市,72.0,普通,24.0
97,前金,高雄市,84.0,普通,29.0
98,左營,高雄市,101.0,不良（敏感族群）,36.0
99,楠梓,高雄市,74.0,普通,25.0
100,林園,高雄市,79.0,普通,27.0
101,大寮,高雄市,79.0,普通,27.0
102,鳳山,高雄市,84.0,普通,29.0
103,仁武,高雄市,89.0,普通,31.0
104,橋頭,高雄市,77.0,普通,26.0
105,美濃,高雄市,99.0,普通,35.0
106,臺南,臺南市,59.0,普通,19.0
107,安南,臺南市,52.0,普通,16.0
108,善化,臺南市,57.0,普通,18.0
109,新營,臺南市,41.0,良好,12.0
